[2026-05-17 16:04:25] INFO [train:101] PPO Configuration: RolloutBuffer=4096, MiniBatch=256, TotalSteps=81920
[2026-05-17 16:04:25] INFO [train:129] ===== Starting KON-Artist Training Session =====
[2026-05-17 16:04:25] INFO [train:132] Loading MTUCI/AASIST3 model for batched inference.
[2026-05-17 16:04:26] INFO [aasist:52] Successfully imported aasist3 from the AASIST3 repository.
[2026-05-17 16:04:49] INFO [aasist:64] Loaded AASIST3 model from Hugging Face: MTUCI/AASIST3
[2026-05-17 16:04:49] INFO [aasist:38] AASIST3 model loaded on cuda
[2026-05-17 16:04:49] INFO [train:136] Instantiating 1 parallel environments.
[2026-05-17 16:04:49] INFO [train:143] Wrapping environment with VecDetectorWrapper for GPU batching.
[2026-05-17 16:04:49] INFO [train:153] Configuring PPO agent.
[2026-05-17 16:04:56] INFO [train:217] Beginning training: TOTAL_TIMESTEPS=81920, BATCH_TOTAL=4096
[2026-05-17 16:04:56] INFO [audio_attack:161] Initializing worker audio stream with config: {'split': 'train', 'seed': 42, 'buffer_size': 1000}
[2026-05-17 16:05:03] INFO [audio_attack:171] Environment Reset: Loading new sample (Label: Spoof)
[2026-05-17 16:05:04] INFO [callbacks:41] Reward logging started at: outputs/history/rewards_20260517_160451.csv
[2026-05-17 16:05:15] INFO [reward_logic:72] Worker 0 | Step 65/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 11.09
[2026-05-17 16:05:15] INFO [reward_logic:72] Worker 0 | Step 66/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 5.30
[2026-05-17 16:05:15] INFO [reward_logic:72] Worker 0 | Step 67/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 9.19
[2026-05-17 16:05:15] INFO [reward_logic:72] Worker 0 | Step 68/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 12.76
[2026-05-17 16:05:15] INFO [reward_logic:72] Worker 0 | Step 69/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 9.29
[2026-05-17 16:05:15] INFO [reward_logic:72] Worker 0 | Step 70/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 9.98
[2026-05-17 16:05:15] INFO [reward_logic:72] Worker 0 | Step 71/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 10.59
[2026-05-17 16:05:16] INFO [reward_logic:72] Worker 0 | Step 72/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 5.30
[2026-05-17 16:05:16] INFO [reward_logic:72] Worker 0 | Step 73/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 14.29
[2026-05-17 16:05:16] INFO [reward_logic:72] Worker 0 | Step 74/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 11.71
[2026-05-17 16:05:16] INFO [reward_logic:72] Worker 0 | Step 75/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 8.49
