step,reward,score,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
42,120.122839,120.122839,-0.9136269,0.12788944,1.0,0.13809496,-42.00750917196274,4.919156491756439,73538
43,112.574557,112.574557,1.0,1.0,-0.8536815,1.0,-32.67908155918121,9.033754527568815,112087
44,78.535733,78.535733,0.810067,-0.7464105,0.17559943,-0.772332,-52.668116092681885,5.07870426774025,160000
45,99.357786,99.357786,0.43215188,-0.10629616,1.0,-0.19747922,-40.44433556497097,1.0,130546
46,110.224681,110.224681,-1.0,-0.56510335,1.0,0.5801008,-49.3329381942749,1.621388852596283,114471
47,113.537304,113.537304,-0.49171293,-0.9258843,0.3071482,0.67942095,-20.0,7.291364878416061,53052
48,94.351758,94.351758,0.19358204,-1.0,1.0,1.0,-52.90009140968323,5.648091830313206,48728
49,84.371757,84.371757,-0.29917175,1.0,0.8531568,-0.70985264,-38.39605286717415,1.0,142971
50,90.115596,90.115596,-1.0,-0.6731274,0.5845121,-0.9801007,-60.0,1.6892785429954529,86763
51,96.084209,96.084209,0.66376674,0.31036344,-0.21554568,0.64745474,-20.0,11.0,86615
52,96.339845,96.339845,-1.0,-0.74662274,0.6373815,-1.0,-60.0,2.5281587839126587,32000
53,103.568566,103.568566,-1.0,-1.0,0.27147007,-0.25158492,-44.73223239183426,2.7965340614318848,71958
54,119.275794,119.275794,1.0,1.0,0.85755754,-0.72428566,-22.405601739883423,3.619166225194931,121922
55,82.223872,82.223872,-1.0,-1.0,0.9581019,0.25845715,-36.37000113725662,4.395570665597916,160000
56,98.512661,98.512661,0.77016634,-1.0,-0.4444237,-1.0,-49.76065158843994,8.524137198925018,32000
57,99.715432,99.715432,-1.0,0.61507076,-0.55202395,-0.3149085,-20.62298059463501,5.044160172343254,46955
58,106.598326,106.598326,-1.0,-1.0,0.38024712,1.0,-32.46723413467407,11.0,69099
59,104.920857,104.920857,-0.7952809,0.99259436,1.0,-0.6094056,-33.635093569755554,10.41112995147705,150050
