step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
10857,72.07732730662106,0.9427261352539062,47.13630676269531,-1.0,-1.0,-1.0,0.05058977,-42.30163991451264,1.0,160000
10979,72.06692170010751,0.9425223469734192,47.12611734867096,-1.0,-1.0,-1.0,0.07596271,-20.0,1.0,160000
3630,72.06452648660826,0.942475438117981,47.12377190589905,-1.0,-0.3608073,-0.3811319,-0.94498754,-58.50767016410828,1.0,160000
501,72.06444431278479,0.942473828792572,47.1236914396286,-0.96251786,-1.0,-0.895713,-0.088456824,-60.0,1.0,113280
9748,72.06238996625046,0.9424335956573486,47.12167978286743,-0.31966263,-1.0,-1.0,-0.8061882,-34.5838588476181,1.0,160000
16241,72.05626952451267,0.9423137307167052,47.11568653583527,-0.7957679,-0.6388348,-1.0,-0.5850444,-26.875518560409542,1.0,160000
35607,72.05619952433955,0.9423123598098756,47.115617990493774,-1.0,-0.42004925,-1.0,1.0,-41.351763010025024,1.0,160000
35604,72.05619952433955,0.9423123598098756,47.115617990493774,-1.0,-1.0,-1.0,1.0,-36.81744694709778,1.0,127651
34797,72.05607169793099,0.9423098564147948,47.11549282073975,-0.98230916,-0.8131028,1.0,-0.9165791,-20.0,1.0,160000
45768,72.05363995133807,0.9422622323036194,47.11311161518097,-1.0,-1.0,-0.9962624,-0.57630146,-22.107003927230835,1.0,160000
30144,72.05061167760405,0.942202925682068,47.110146284103394,-1.0,-1.0,-1.0,-0.907555,-21.25020265579224,4.954525589942932,146644
59702,72.0458851278679,0.9421103596687316,47.10551798343658,-0.997412,-0.35017568,-1.0,-0.59260297,-45.50436556339264,1.0,160000
36771,72.04365728523726,0.942066729068756,47.103336453437805,-1.0,-1.0,-0.34857848,0.020537898,-20.0,1.0,131996
1438,72.04276249538023,0.942049205303192,47.10246026515961,-0.80582637,-1.0,0.2540167,-0.87490165,-38.74355837702751,1.0,160000
58491,72.03963985867843,0.9419880509376526,47.09940254688263,-0.53189003,-1.0,-1.0,-0.7789613,-20.0,1.0,160000
33637,72.03887289463329,0.9419730305671692,47.09865152835846,-1.0,-1.0,-1.0,-0.8449378,-53.135446310043335,1.0,99345
35867,72.0370376582074,0.9419370889663696,47.09685444831848,-0.8958811,-0.63893193,-0.503729,0.3819917,-20.0,1.0,112062
44388,72.02753884076417,0.9417510628700256,47.08755314350128,-1.0,-1.0,-1.0,-0.40518543,-60.0,1.0,160000
20343,72.02553620141148,0.9417118430137634,47.08559215068817,-0.30148733,-1.0,0.22622198,-0.93205315,-20.0,2.935105919837952,152784
15565,72.02233440966366,0.9416491389274596,47.082456946372986,0.2773279,-1.0,-1.0,-0.8841592,-36.63522332906723,1.0,142343
41329,72.02130265263298,0.9416289329528807,47.08144664764404,-1.0,0.019652963,-1.0,0.20971578,-45.66052198410034,1.0,126119
30253,72.01940044451094,0.9415916800498962,47.07958400249481,-1.0,-0.7721813,-0.4554791,-0.32095078,-20.0,1.0,129442
56788,72.01804911491008,0.941565215587616,47.0782607793808,-1.0,-1.0,-0.83289045,-0.9290748,-30.852461457252502,1.0,86860
12666,72.01714822807062,0.9415475726127625,47.07737863063812,-1.0,-0.5991584,0.33583194,-0.7050327,-20.867849588394165,1.0,160000
37720,72.00617016326997,0.9413325786590576,47.06662893295288,-0.7439914,-0.1004616,-0.8450171,-0.7661638,-20.0,1.0,160000
31986,72.00587798229105,0.9413268566131592,47.06634283065796,-1.0,-0.90857834,-1.0,0.38193905,-60.0,1.0,152620
26546,72.001090469946,0.9412330985069276,47.061654925346375,-0.81895256,-1.0,0.5975709,-0.8479515,-20.0,1.0,160000
61350,71.98449084297317,0.9409080147743224,47.045400738716125,-1.0,-1.0,-1.0,-0.62557924,-60.0,1.0,160000
41068,71.98258251737211,0.9408706426620485,47.04353213310242,-1.0,-0.9918724,0.5402184,-0.6454916,-60.0,1.0,160000
30806,71.97827280016165,0.9407862424850464,47.03931212425232,-1.0,-1.0,0.22480017,-0.7543303,-45.38339614868164,1.0,160000
50588,71.97515920708463,0.9407252669334412,47.03626334667206,-1.0,-1.0,-0.12270367,-0.1844519,-60.0,1.0,159552
35877,71.97441657038318,0.940710723400116,47.0355361700058,-1.0,-0.30858153,-0.98962486,-0.90015864,-51.22481107711792,1.0,113801
43360,71.9675654311784,0.9405765533447266,47.02882766723633,-1.0,-1.0,-0.012944162,-0.4289107,-20.0,1.0,160000
18911,71.96706323670021,0.9405667185783386,47.02833592891693,-0.49535906,-0.69393337,-0.1726898,-0.4145331,-60.0,1.0,160000
21487,71.9607903619145,0.9404438734054564,47.02219367027283,-1.0,-0.776439,-1.0,-0.63484466,-55.9297251701355,1.0,160000
37695,71.9603155584705,0.9404345750808716,47.02172875404358,-1.0,-1.0,-1.0,-0.88633627,-60.0,1.0,160000
41821,71.95883636249903,0.9404056072235109,47.02028036117554,-0.9727497,-0.70808107,-0.4495899,-0.9180995,-27.802809476852417,1.0,160000
49352,71.95883027527086,0.9404054880142212,47.02027440071106,-1.0,-1.0,1.0,-0.8069589,-20.0,1.0,96887
32146,71.95730238048935,0.940375566482544,47.0187783241272,-1.0,-1.0,-1.0,1.0,-40.29577933251858,1.0,160000
45131,71.95659321782645,0.9403616786003112,47.01808393001557,-0.50974715,-0.7297677,-1.0,-0.7683939,-23.35660219192505,1.0,160000
51782,71.95546099200695,0.9403395056724548,47.01697528362274,-1.0,-1.0,-1.0,-0.36070496,-20.0,1.0,160000
5062,71.9515742878531,0.9402633905410768,47.01316952705383,-1.0,0.073810935,-1.0,-0.54543835,-42.64905750751496,1.0,160000
4039,71.94961114974822,0.9402249455451964,47.01124727725983,-0.5856526,0.25593472,-0.6443124,0.13564041,-42.33137115836144,1.0,160000
28407,71.9490724278364,0.9402143955230712,47.010719776153564,-0.54870534,-1.0,-0.74579054,-0.3127464,-50.36242842674256,1.0,160000
2665,71.94509744757792,0.9401365518569946,47.00682759284973,-1.0,-1.0,-0.871292,-0.11030516,-20.0,1.0,160000
31332,71.94277819865525,0.9400911331176758,47.00455665588379,-0.79343534,-1.0,0.7720976,-0.6800585,-37.24234342575073,1.0,115508
42927,71.94113159137598,0.9400588870048524,47.002944350242615,-1.0,-1.0,1.0,-0.88487273,-21.018084287643436,1.0,116567
41155,71.93974369227476,0.9400317072868348,47.001585364341736,-1.0,0.26069653,-1.0,0.37685204,-21.47999882698059,1.0,156203
58853,71.93951846295582,0.9400272965431212,47.00136482715607,-0.8135711,-1.0,-0.23064655,-0.47306532,-20.0,1.0,160000
51096,71.93928105905526,0.9400226473808287,47.00113236904144,-1.0,-0.23816413,-1.0,-0.6519972,-60.0,1.0,142435
8422,71.93862972002297,0.9400098919868468,47.000494599342346,-0.84235394,-0.30200714,0.69520664,0.051400095,-25.45701146125793,1.0,160000
25828,71.9345847178914,0.9399306774139404,46.99653387069702,-0.40205842,-0.7990012,-1.0,-0.7170185,-40.92462956905365,1.0,160000
8370,71.93185456571118,0.9398772120475768,46.993860602378845,-0.57967734,-1.0,-1.0,-0.89393663,-60.0,1.0,100975
