step,session_step,session_progress_pct,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
98970,37530,45.81298828125,87.84368829137213,0.6180366277694702,63.32489584479945,0.02420175,-0.58606493,-1.0,0.19036663,-44.75405156612396,1.0,160000
87183,25743,31.424560546875004,87.83606363512163,0.617866039276123,63.31754724344989,-1.0,-1.0,0.73469734,-0.70170236,-20.0,1.0,160000
81782,20342,24.83154296875,87.83563192191676,0.6178563833236694,63.31713115827321,-1.0,-0.46880776,-1.0,-0.6177891,-60.0,1.0,160000
135765,74325,90.728759765625,87.81552331599335,0.617406964302063,63.29775020130267,-1.0,-0.7351052,-0.1297147,1.0,-21.414003372192383,1.0,160000
81135,19695,24.041748046875,87.77820057422879,0.6165745854377747,63.261776554246,0.0023134947,-1.0,0.026501179,-0.69985,-50.30961990356445,1.0,155050
103452,42012,51.2841796875,87.74986940493763,0.6159442663192749,63.23446819961041,-0.056624055,0.11400235,-0.86513066,0.41649312,-28.06824207305908,1.0,160000
128607,67167,81.990966796875,87.74476217317564,0.6158307790756226,63.22954523403277,-1.0,-1.0,0.9231031,1.0,-20.0,1.0,120435
89929,28489,34.776611328125,87.74061918591883,0.6157387495040894,63.2255516976505,-1.0,-1.0,-1.0,-0.4717369,-56.52922511100769,1.0,140860
64680,3240,3.955078125,87.73502522540221,0.6156145334243774,63.220159492522285,-1.0,0.04214096,0.34975237,1.0,-20.0,1.0,142628
85626,24186,29.52392578125,87.71555730437015,0.615182638168335,63.20139338537645,-0.72251976,-1.0,-0.6565734,-0.86346465,-32.90744364261627,1.687893033027649,160000
132854,71414,87.17529296875,87.71521315505255,0.6151750087738037,63.20106163797228,-1.0,-1.0,-0.39348644,1.0,-20.0,1.0,160000
142438,80998,98.87451171875,87.68052790937675,0.6144070625305176,63.16762550995981,-1.0,-1.0,-0.9611454,0.111469984,-35.39863705635071,1.0,139392
101267,39827,48.616943359375,87.67738185539855,0.6143375039100647,63.16459267498955,-1.0,-1.0,-0.71987677,-0.028444111,-20.0,1.0,160000
86463,25023,30.545654296875004,87.65101232515045,0.6137551069259644,63.1391716025722,-1.0,0.6740106,-0.54385704,0.3252914,-20.0,1.0,131398
64282,2842,3.46923828125,87.64184357106524,0.6135528683662415,63.13033241297332,-1.0,-1.0,-1.0,0.4951248,-35.89539110660553,1.0,146749
84546,23106,28.20556640625,87.63568168898833,0.6134170293807983,63.12439195276832,-0.3337226,-0.9376911,-1.0,-0.056983292,-37.36239016056061,1.0,160000
116297,54857,66.964111328125,87.6276960600857,0.6132410764694214,63.11669320561614,-1.0,-1.0,-0.9949779,-0.83047456,-20.0,1.0,160000
70297,8857,10.811767578125,87.6259316705224,0.6132022142410278,63.11499218992204,-1.0,-1.0,-0.28668112,0.2555648,-60.0,1.0,160000
123950,62510,76.30615234375,87.61906138302537,0.6130509376525879,63.108368632211146,-1.0,-1.0,-1.0,-0.46943414,-38.77327024936676,1.0,148622
106368,44928,54.84375,87.6006912879327,0.6126468181610107,63.09065794846788,-1.0,-1.0,-1.0,1.0,-22.48077630996704,1.0,160000
106365,44925,54.840087890625,87.6006912879327,0.6126468181610107,63.09065794846788,-1.0,-0.9087379,-1.0,1.0,-51.4519727230072,1.0,154189
132164,70724,86.3330078125,87.6006912879327,0.6126468181610107,63.09065794846788,-0.9387601,-1.0,-1.0,1.0,-20.0,1.0,121463
132167,70727,86.336669921875,87.6006912879327,0.6126468181610107,63.09065794846788,-1.0,-1.0,-1.0,1.0,-38.56410205364227,1.0,160000
132169,70729,86.339111328125,87.6006912879327,0.6126468181610107,63.09065794846788,-1.0,-0.4621892,-1.0,1.0,-31.844502687454224,1.0,160000
130774,69334,84.63623046875,87.59302441657275,0.6124783158302307,63.08326615485614,-1.0,-1.0,0.5809405,-0.40350914,-44.13994073867798,1.0,160000
76118,14678,17.91748046875,87.579016690123,0.6121706962585449,63.06976080839382,-0.099773765,-1.0,-1.0,0.26277804,-20.513181686401367,1.0,160000
121083,59643,72.806396484375,87.56679683640037,0.6119025945663452,63.05797900310843,-1.0,-1.0,-1.0,-0.69021535,-38.76365065574646,1.0,160000
117650,56210,68.61572265625,87.54500630802875,0.6114251017570496,63.03696912056735,-0.73054355,-1.0,-1.0,-0.28665328,-24.05381679534912,1.0,154465
125413,63973,78.092041015625,87.53574494087506,0.6112223863601685,63.02803935414139,-1.0,-1.0,-1.0,-0.19673693,-20.0,1.0,160000
64285,2845,3.472900390625,87.52722424331452,0.6110360026359558,63.0198236391067,-1.0,-0.68241537,-1.0,0.286474,-60.0,1.0,76405
130557,69117,84.371337890625,87.52088277480607,0.6108973622322083,63.013709090343774,-0.1731373,-1.0,-1.0,1.0,-20.0,1.0,160000
130551,69111,84.364013671875,87.52088277480607,0.6108973622322083,63.013709090343774,-1.0,-1.0,-1.0,1.0,-20.0,1.0,121876
104755,43315,52.874755859375,87.52088277480607,0.6108973622322083,63.013709090343774,-0.8130563,-1.0,-1.0,1.0,-34.73894476890564,1.0,160000
104753,43313,52.872314453125,87.52088277480607,0.6108973622322083,63.013709090343774,-0.3818751,-0.8424012,-1.0,1.0,-56.32176637649536,1.0,160000
95263,33823,41.287841796875,87.50459596941965,0.610541582107544,62.99800484397237,-1.0,-1.0,-0.9124701,1.0,-20.0,1.0,160000
121068,59628,72.7880859375,87.4958184415064,0.6103500127792358,62.98954113479677,-1.0,-1.0,-0.86037743,1.0,-24.604852199554443,1.0,160000
115356,53916,65.8154296875,87.49044103791184,0.6102327108383179,62.98435593766035,-1.0,0.037469983,-1.0,0.64236355,-31.243199110031128,1.0,160000
84279,22839,27.879638671875,87.47970733915304,0.6099987030029297,62.97400578555544,-1.0,-0.8024816,-1.0,-0.15991026,-20.0,1.0,160000
71854,10414,12.712402343750002,87.47548103190493,0.6099066138267517,62.9699304558872,-1.0,-1.0,-0.8704738,-0.21758223,-20.0,1.0,160000
74266,12826,15.656738281249998,87.46869163576224,0.609758734703064,62.96338355105469,-0.5416885,-0.82413054,-0.7162353,0.31032202,-29.018913507461548,1.0,160000
89807,28367,34.627685546875,87.46401841170699,0.6096569895744324,62.95887720221135,-0.27141303,-1.0,0.27051944,-0.2639364,-40.506556034088135,1.0,160000
89277,27837,33.980712890625,87.45818494939058,0.6095300316810608,62.9532520063732,-1.0,-1.0,-1.0,-0.06405926,-34.30124759674072,1.0,114668
139069,77629,94.761962890625,87.42490129430288,0.6088066697120667,62.92115580964897,-1.0,-1.0,-0.86492133,-0.4456644,-42.21057713031769,1.0,160000
75595,14155,17.279052734375,87.41705152232282,0.6086363196372986,62.913585886626265,-0.72218585,-1.0,-0.6164207,1.0,-60.0,1.0,160000
137985,76545,93.438720703125,87.40881798926534,0.6084577441215515,62.90564579928026,-1.0,-1.0,-1.0,0.005151868,-56.803908348083496,1.0,151485
62814,1374,1.67724609375,87.39641458272973,0.6081889271736145,62.89368429088684,-1.0,-0.60221493,-0.7740485,1.0,-20.0,1.0,160000
131184,69744,85.13671875,87.37470284930467,0.6077189445495605,62.872745613805286,-1.0,-0.40715587,-1.0,-0.41600657,-45.67671418190002,1.0,113013
68512,7072,8.6328125,87.34168964039111,0.6070057153701782,62.84090671094428,-1.0,-0.19722164,-1.0,-0.98588175,-53.50520133972168,1.0,149644
106085,44645,54.498291015625,87.32703982987498,0.6066897511482239,62.8267775651868,-1.0,-0.60330045,-0.25917378,-0.061282516,-46.899073123931885,1.0,139676
66357,4917,6.002197265625,87.31994850864467,0.6065369248390198,62.81993817760218,-1.0,-0.5251697,-0.71431774,-0.6845123,-20.0,1.0,160000
85409,23969,29.259033203125,87.26901551736547,0.6054415106773376,62.77081283310292,-1.0,-1.0,-1.0,0.42694002,-56.12163543701172,1.0,160000
