step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,session_step,session_progress_pct
97650,81.72370408528766,0.5046058297157288,57.407681773005294,-1.0,-0.75750214,-1.0,0.263099,-20.0,1.0,160000,36210.0,44.20166015625
71305,81.71070645295899,0.5044031143188477,57.395085951583056,-1.0,-1.0,-1.0,-0.42605555,-22.38142251968384,1.0,131991,9865.0,12.042236328125
113922,81.70030566147419,0.5042409896850586,57.38500663054402,-1.0,-1.0,-1.0,-0.5386261,-60.0,1.0,160000,52482.0,64.06494140625
112541,81.68845324628022,0.5040563344955444,57.37352048666067,-1.0,0.21863401,-0.57150304,-0.32702756,-39.97788429260254,1.0,160000,51101.0,62.37915039062501
101202,81.67446515397705,0.5038385391235352,57.35996457311081,-1.0,-0.42581517,-1.0,-0.4397986,-52.8596818447113,1.0,160000,39762.0,48.53759765625
108769,81.6508398139638,0.5034710168838501,57.33706894374721,-1.0,-0.6842009,-1.0,-0.6902288,-20.0,1.0,158133,47329.0,57.77465820312499
104083,81.64842062371618,0.5034334063529968,57.33472445876441,-0.048021197,-0.5671926,-1.0,-0.61790454,-20.0,1.0,160000,42643.0,52.054443359375
103281,81.64758476977337,0.5034204125404358,57.333914415544655,-0.20480472,-0.8676437,-0.7794558,1.0,-31.17328643798828,1.0,97020,41841.0,51.07543945312501
103676,81.60447465025567,0.5027509331703186,57.292135042465794,-1.0,-1.0,-1.0,-0.872141,-59.328463077545166,1.0,160000,42236.0,51.55761718750001
126707,81.59431003993879,0.5025932788848877,57.28228406460339,-1.0,-0.29249555,-1.0,0.8222971,-20.0,1.0,84226,65267.0,79.671630859375
100701,81.59009289955469,0.5025278925895691,57.27819703051321,-1.0,-1.0,-0.34723696,0.8620919,-32.64647424221039,1.0,145627,39261.0,47.926025390625
77135,81.58644403561448,0.5024713277816772,57.27466073344209,-1.0,-1.0,-1.0,-0.36091185,-29.33419704437256,1.0,160000,15695.0,19.158935546875
83156,81.58579032709616,0.5024611949920654,57.27402719103317,-1.0,-1.0,-0.28564847,0.3411982,-20.0,1.0,160000,21716.0,26.5087890625
78696,81.58548269263213,0.5024564266204834,57.27372904664368,-1.0,-0.92993605,-0.7440663,-0.06827259,-20.0,1.0,160000,17256.0,21.064453125
140718,81.57861744571667,0.5023500323295593,57.2670755704432,-1.0,-0.69139725,-1.0,0.9800124,-22.948505878448486,1.0,160000,79278.0,96.77490234375
75512,81.54398068326338,0.5018137693405151,57.233506886799496,-1.0,-0.4345141,-1.0,1.0,-53.59901189804077,1.0,100811,14072.0,17.177734375
140082,81.54206569088714,0.5017841458320618,57.23165092903853,0.05030024,-0.6467035,-0.42807096,0.5166274,-20.0,1.0,160000,78642.0,95.99853515625
111896,81.52593365758077,0.5015347003936768,57.21601613635304,-1.0,-1.0,0.18558419,0.9871452,-32.56914973258972,1.0,114508,50456.0,61.59179687500001
73691,81.5054591426028,0.5012183785438538,57.19617252815828,-0.63723475,0.1011368,-1.0,-0.34322822,-48.37009072303772,1.0,160000,12251.0,14.954833984374998
