step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
1830,13.257827961928612,7.947165613586549e-06,0.00039735828067932744,-0.66189694,-0.68702525,0.4587906,0.65987265,-60.0,1.0,114310
1831,9.68137844240925,2.2143461819723598e-07,1.1071730909861799e-05,-1.0,-1.0,-0.52520907,1.0,-32.88517415523529,8.010210454463959,123911
1832,9.566406221187629,1.9727643518763216e-07,9.863821759381608e-06,-1.0,-1.0,0.24271494,0.8995857,-20.0,6.32403290271759,160000
1833,8.452929508792469,6.41174224824681e-08,3.205871124123405e-06,-1.0,0.93054414,0.6577965,-0.12829758,-20.0,3.111893892288208,160000
1834,12.897010728890802,5.540383881452726e-06,0.0002770191940726363,-1.0,-0.7509259,-0.23162311,0.19447851,-20.0,1.0,160000
1835,8.799023511127828,9.104566345286003e-08,4.552283172643001e-06,-0.28901267,-1.0,-0.06762773,-0.79154575,-55.752692222595215,8.719745635986328,110982
1836,8.807534523078186,9.183240479160304e-08,4.591620239580152e-06,-1.0,-1.0,0.7399392,-0.49485946,-42.12417781352997,1.0,42228
1837,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,-1.0,-1.0,-1.0,-20.0,1.0,140704
1838,16.10882684683157,0.00013666013546753675,0.006833006773376837,-0.72317743,0.7045555,-1.0,0.8943192,-40.68710923194885,1.0,84643
1839,10.386125073948591,4.490543972224259e-07,2.2452719861121295e-05,-0.6890344,1.0,-0.19575685,1.0,-21.28402590751648,1.0,160000
1840,12.28176883195372,2.994555416080402e-06,0.0001497277708040201,-1.0,-0.3161528,0.24243903,0.20279098,-60.0,1.0,143442
1841,11.373606025718534,1.207108880407759e-06,6.035544402038795e-05,-1.0,-0.8641779,-1.0,-0.8071867,-50.40767788887024,6.318746864795685,160000
1842,10.585270058320077,5.482251594912668e-07,2.741125797456334e-05,-0.11195189,-1.0,-1.0,0.52909833,-53.81020903587341,2.030908226966858,65258
1843,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.102766216,-1.0,-1.0,-1.0,-57.01678991317749,1.572766363620758,91689
1844,11.426659369732993,1.2729295804092544e-06,6.364647902046272e-05,-0.9884386,-1.0,-0.83509654,0.10956797,-45.88425874710083,3.1088340878486633,140543
1845,14.842643951381554,3.871367880492471e-05,0.0019356839402462356,0.777568,-1.0,0.045749247,-0.326496,-41.4939971268177,1.0,105376
