step,reward
733,9.72
734,5.3
735,13.88
736,9.0
737,5.3
738,5.3
739,11.24
740,5.3
741,9.27
742,5.3
743,5.3
744,5.3
745,8.59
746,8.72
747,5.3
748,8.56
749,8.66
750,5.3
751,9.05
752,12.99
753,5.3
754,5.3
755,12.17
756,7.34
757,8.64
758,9.78
759,9.05
760,14.22
761,5.3
762,5.3
763,9.34
764,5.3
765,10.96
766,9.54
767,5.3
768,14.58
769,9.65
770,10.4
771,10.99
772,5.3
773,17.24
774,5.3
775,5.3
776,6.26
777,11.59
778,5.3
779,8.42
780,5.3
781,8.86
782,12.4
783,6.73
784,9.14
785,13.1
786,5.3
787,5.3
788,11.96
789,8.24
790,11.34
791,8.95
792,14.13
793,8.58
794,5.3
795,8.25
796,10.32
797,9.84
798,10.07
799,12.82
800,9.42
801,9.76
802,13.89
803,9.72
804,13.64
805,8.27
806,5.3
807,9.26
808,9.19
809,5.3
810,5.3
811,9.41
812,9.72
813,5.3
814,5.3
815,13.17
816,5.3
817,8.56
818,5.3
819,10.39
820,12.46
821,5.3
822,9.9
823,9.79
824,9.12
825,8.95
826,10.66
827,8.85
828,13.47
829,10.12
830,5.3
831,8.7
832,8.13
833,8.86
834,14.78
835,12.15
836,9.14
837,10.07
838,10.5
839,5.3
840,7.2
841,5.3
842,5.3
843,12.14
844,8.67
845,7.74
846,8.96
847,11.99
848,12.17
849,9.17
850,5.3
851,9.35
852,5.3
853,11.94
854,17.16
855,9.54
856,5.3
857,9.63
858,9.06
859,5.3
860,5.3
861,11.69
862,10.29
863,5.3
864,9.06
865,10.38
866,9.07
867,5.3
868,5.3
869,5.3
870,5.3
871,5.3
872,5.3
873,8.19
874,9.91
875,10.48
876,5.3
877,14.14
878,5.3
879,8.67
880,19.07
881,9.7
882,9.58
883,11.03
884,9.78
885,9.25
886,9.12
887,19.56
888,13.72
889,5.3
890,13.42
891,5.3
892,5.3
893,9.02
894,13.3
895,9.97
896,5.3
897,10.99
898,5.3
899,7.88
900,8.86
901,5.3
902,8.98
903,7.88
904,5.3
905,9.34
906,5.3
907,9.78
908,5.3
909,9.45
910,5.3
911,5.3
912,14.92
913,8.89
914,8.91
915,5.3
916,7.69
917,5.3
918,5.3
919,5.3
920,8.53
921,5.3
922,11.55
923,8.54
924,11.19
925,10.11
926,9.16
927,8.4
928,15.44
