step,session_step,session_progress_pct,reward,score,bonus,cluster,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,conditioned_action_0,conditioned_action_1,conditioned_action_2,conditioned_action_3,conditioned_action_4,conditioned_action_5,conditioned_action_6
327713,33,0.040283203125,21.42247200012207,0.0018910751678049564,0.0,3,-1.0,1.0,-1.0,0.8520592,-20.0,1.0,123603,-0.49986687,0.325678,-1.0,-0.08198428,1.0,-0.8469415,0.7696485,-0.89976037,0.5862204,-1.0,-0.1475717,1.0,-1.0,1.0
327714,34,0.04150390625,8.953668594360352,2.3387134451269276e-09,0.0,3,-1.0,1.0,-1.0,1.0,-47.044731974601746,1.0,32000,-1.0,0.032653153,-0.81688076,0.65604264,-0.4070748,-1.0,-0.62428117,-1.0,0.058775675,-1.0,1.0,-0.7327346,-1.0,-1.0
327715,35,0.042724609375,15.860682487487793,1.4324422181744012e-07,0.0,3,0.55006105,1.0,-1.0,1.0,-20.0,1.0,37137,0.96383965,1.0,-1.0,1.0,0.87019205,-0.656671,-0.1950165,1.0,1.0,-1.0,1.0,1.0,-1.0,-0.3510297
327716,36,0.0439453125,18.01706314086914,9.288082765124273e-06,0.0,3,-0.80570304,0.361755,-1.0,1.0,-20.0,6.399999618530273,87885,-0.19764672,-0.35414165,-0.34211427,1.0,1.0,0.7179768,0.24550593,-0.3557641,-0.637455,-0.6158057,1.0,1.0,1.0,0.44191065
327717,37,0.045166015625,21.039220809936523,0.0008315476006828249,0.0,3,0.55006105,0.75041294,-1.0,1.0,-32.66286075115204,1.0,123603,1.0,-0.13822061,-1.0,1.0,-0.007578373,-1.0,1.0,1.0,-0.24879709,-1.0,1.0,-0.013641071,-1.0,1.0
327718,38,0.04638671875,8.998966217041016,2.591871828272474e-09,0.0,3,-1.0,0.8068724,-1.0,1.0,-52.39003896713257,1.0,32000,-0.3221689,-0.1068542,-1.0,0.9139149,-0.5878005,-0.5591764,-0.6296897,-0.57990396,-0.19233756,-1.0,1.0,-1.0,-1.0,-1.0
327719,39,0.047607421875,19.328720092773438,1.7313372154603712e-05,0.0,3,0.27636963,-0.00078999996,-1.0,1.0,-20.0,1.0,123603,0.4035048,-1.0,-0.9061813,1.0,0.9966151,-1.0,1.0,0.7263086,-1.0,-1.0,1.0,1.0,-1.0,1.0
327720,40,0.048828125,19.165424346923828,1.4414813449548092e-05,0.0,3,-1.0,1.0,-1.0,1.0,-20.0,1.0,123603,-0.64595526,0.6045146,-0.5956964,1.0,1.0,-0.14774394,0.9056039,-1.0,1.0,-1.0,1.0,1.0,-0.2659391,1.0
327721,41,0.05004882812499999,18.77153968811035,1.272946519748075e-06,0.0,0,-1.0,0.9976015,-1.0,1.0,-20.0,1.0,160000,-1.0,0.25742483,-1.0,1.0,0.72924584,-1.0,0.96539176,-1.0,0.4633647,-1.0,1.0,1.0,-1.0,1.0
327722,42,0.05126953125,12.472662925720215,8.414712482363029e-08,0.0,0,-0.18057492,1.0,-1.0,1.0,-20.0,1.0,160000,0.13619643,0.99429,-0.033625126,0.8851235,1.0,-1.0,0.97265434,0.24515358,1.0,-0.060525224,1.0,1.0,-1.0,1.0
327723,43,0.052490234375,9.410820960998535,5.5821027800107e-09,0.0,0,-0.38413984,1.0,0.040914953,1.0,-20.0,6.399999916553497,59152,0.023104805,1.0,0.6725006,1.0,1.0,1.0,-0.4948628,0.04158865,1.0,1.0,1.0,1.0,1.0,-0.89075303
327724,44,0.05371093750000001,17.780183792114258,1.4241864221276046e-07,0.0,0,0.5742715,1.0,-1.0,-0.19667822,-47.366087436676025,1.0,160000,1.0,1.0,-1.0,-0.86598694,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
327725,45,0.054931640625,18.266414642333984,3.676558151255449e-07,0.0,0,0.5742715,1.0,-0.13233662,1.0,-20.0,1.0,160000,0.63356334,1.0,0.4593047,1.0,1.0,-0.583391,0.7561724,1.0,1.0,0.82674843,1.0,1.0,-1.0,1.0
327726,46,0.05615234374999999,18.1650447845459,3.0900071124051465e-06,0.0,0,0.5742715,1.0,-1.0,1.0,-47.366087436676025,3.8738366067409515,110570,1.0,1.0,-0.78778297,1.0,-0.7727726,0.27487075,-0.04853046,1.0,1.0,-1.0,1.0,-1.0,0.49476734,-0.087354824
327727,47,0.057373046875,11.903889656066895,1.9437946363609626e-08,0.0,0,-0.30754352,-0.33305883,-1.0,1.0,-33.37432324886322,1.0,160000,0.065658316,-0.48183095,-0.21455449,1.0,-0.16689545,-1.0,0.95910627,0.11818497,-0.8672957,-0.38619807,1.0,-0.3004118,-1.0,1.0
327728,48,0.05859375,12.588265419006348,9.946092660584327e-08,0.0,0,-1.0,0.09126338,-1.0,1.0,-20.0,1.0,160000,-0.90518457,-0.24609637,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.44297346,-1.0,1.0,1.0,-1.0,1.0
327729,49,0.05981445312500001,16.87421226501465,7.628769935763557e-07,0.0,0,-0.16580972,1.0,-1.0,1.0,-20.0,1.0,52161,0.14439933,1.0,-1.0,0.5416229,0.32718122,-0.22711456,-0.5754403,0.25991878,1.0,-1.0,0.97492117,0.5889262,-0.4088062,-1.0
327730,50,0.06103515625,19.62409019470215,1.3485622730513569e-05,0.0,0,-1.0,0.7814645,-1.0,-0.19667822,-47.366087436676025,1.7012474536895752,160000,-1.0,0.13734871,-0.21856022,-0.93953073,-1.0,0.033471942,1.0,-1.0,0.24722767,-0.3934084,-1.0,-1.0,0.060249493,1.0
327731,51,0.06225585937499999,16.93500328063965,1.0364674807306073e-07,0.0,0,0.42385632,1.0,-1.0,1.0,-20.0,1.0,116809,0.4757916,1.0,-0.15038961,1.0,1.0,-1.0,0.011024594,0.85642487,1.0,-0.2707013,1.0,1.0,-1.0,0.01984427
327732,52,0.0634765625,17.88456153869629,2.082861811913972e-07,0.0,0,-1.0,-0.45316297,-1.0,1.0,-20.0,1.0,160000,-1.0,-1.0,-0.51390755,1.0,1.0,-1.0,1.0,-1.0,-1.0,-0.92503357,1.0,1.0,-1.0,1.0
327733,53,0.064697265625,19.643552780151367,1.079368212231202e-05,0.0,0,0.5521371,1.0,-1.0,1.0,-20.0,1.0,160000,0.5470587,1.0,-1.0,1.0,0.54044586,-1.0,1.0,0.9847056,1.0,-1.0,1.0,0.9728025,-1.0,1.0
327734,54,0.06591796875,20.888944625854492,0.00017337246390525252,0.0,0,-1.0,1.0,-1.0,0.6415014,-44.084763526916504,1.0,160000,-1.0,1.0,-0.30471784,-0.09350026,-0.45540756,-1.0,1.0,-1.0,1.0,-0.5484921,-0.16830046,-0.81973356,-1.0,1.0
327735,55,0.067138671875,20.99156951904297,0.00023044123372528702,0.0,0,-1.0,0.5581054,-1.0,0.29640883,-20.0,1.0,160000,-0.58353025,0.0062602162,-1.0,-0.28521836,0.23137444,-1.0,1.0,-1.0,0.0112683885,-1.0,-0.51339304,0.41647398,-1.0,1.0
327736,56,0.068359375,19.328588485717773,5.2563332246791106e-06,0.0,0,-1.0,1.0,-1.0,1.0,-20.0,1.0,160000,-0.501293,1.0,-0.4671213,1.0,0.5787159,-1.0,1.0,-0.90232736,1.0,-0.84081835,1.0,1.0,-1.0,1.0
327737,57,0.069580078125,20.378931045532227,0.0013393289409577847,0.0,0,-1.0,1.0,-1.0,1.0,-20.0,1.0,69245,-1.0,1.0,-0.89023674,0.3630972,0.51672316,-1.0,-0.4018556,-1.0,1.0,-1.0,0.65357494,0.93010163,-1.0,-0.72334003
